kljuc;naziv
126;Potraživanja iz vanjskotrgovačkog poslovanja (s osnove uvoza odnosno izvoza za tuđi račun)
1260;Potraživanja po poslovima uvoza za tuđi račun
1261;Potraživanja od izvoznika
127;Potraživanja s osnove ostalih aktivnosti
1270;Potraživanja s osnove prodaje udjela i dionica
1271;Potraživanja za nakladno odobrene popuste (bonifikacije, cassa sconto, rabat i sl.)
1272;Potraživanja za predujam za kupnju dionica i udjela
1273;Potraživanja za dobitak – dividendu
1274;Potraživanja za povrat PDV-a iz EU
1275;Potraživanja za odobrene državne potpore
1276;Potraživanja za PDV iz naknadno odobrenog popusta
1277;Potraživanja s temelja troškova koje nadoknađuje davatelj jamstva (proizvođač)
1278;Potraživanja iz zajedničkog poslovanje (prihod)
1279;Potraživanja za povrat PDV-a iz trećih zemalja
128;Ostala kratkoročna potraživanja
1280;Potraživanja iz odštetnih zahtjeva (od osiguravajućih društava, iz nagodbi i tužbi)
1281;Potraživanja za udjel u dobitku – prihodu u investicijskom fondu
